OTU.rep	Domain	Phylum	Class	Order	Family	Genus
AJ519368.1.1332	Bacteria	Acidobacteria	Acidobacteria	Subgroup 6	NA	NA
AJ534672.1.1438	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
AJ567555.1.1514	Bacteria	Gemmatimonadetes	Gemmatimonadetes	PAUC43f marine benthic group	NA	NA
AJ575709.1.1423	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
AJ581351.1.1518	Bacteria	Proteobacteria	Gammaproteobacteria	E01-9C-26 marine group	NA	NA
AJ582205.1.1381	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter
AJ630299.1.1352	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira
AJ630648.1.1391	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Acaryochloris
AJ633948.1.1312	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter clade NAC11-7 lineage
AJ633964.1.1311	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured
AJ748836.1.1529	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
AJ854055.1.1486	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus
AJ867903.1.1455	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Family Incertae Sedis	Candidatus Captivus
AJ919997.1.1381	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus
AKYP01000181.6500.8004	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
AM040099.1.1504	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pir4 lineage
AM040100.1.1485	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Marixanthomonas
AM110953.1.1530	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
AM116727.1.1275	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Undibacterium
AM162442.1.1442	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodomicrobium
AM162573.1.1346	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured
AM292618.1.1317	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
AM398681.2501759.2503279	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Flavobacterium
AM407893.1.1710	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
AM411970.1.1366	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
AM412131.1.1430	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	uncultured
AM691103.1.1449	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured
AM697187.1.1439	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
AM697221.1.1479	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Frondihabitans
AM746092.1.1352	Archaea	Euryarchaeota	Methanomicrobia	ANME-1	ANME-1b	NA
AM746691.1.1438	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	uncultured
AM747357.1.1283	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Cryomorphaceae	NS10 marine group
AM748925.1.1440	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiophaeococcus
AM882523.1.1498	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255 marine benthic group	NA
AM882524.1.1493	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidiferrobacter
AM882529.1.1505	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
AM882540.1.1503	Bacteria	Proteobacteria	Gammaproteobacteria	Order Incertae Sedis	Family Incertae Sedis	Sedimenticola
AM882576.1.1507	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola
AM934763.1.1310	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured
AM934933.1.1356	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	C1-B045
AM935240.1.1356	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	uncultured
AM935485.1.1342	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaera
AM935925.1.1301	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	D05-2	NA
AM936175.1.1305	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Family Incertae Sedis	Reyranella
AM936307.1.1365	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas
AM936321.1.1312	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
AM936511.1.1357	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	C1-B045
AM936742.1.1340	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus
AM936889.1.1374	Bacteria	Elusimicrobia	Elusimicrobia	Lineage IIa	NA	NA
AM941746.1.1428	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Kushneria
AM997732.1.1478	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
AM997750.1.1515	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
AM997803.1.1523	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
AM997822.1.1565	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces
AM997838.1.1476	Bacteria	Proteobacteria	Alphaproteobacteria	S26-47	NA	NA
AM997847.1.1457	Bacteria	Candidate division OD1	NA	NA	NA	NA
AM997886.1.1504	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rhodopirellula
AY035822.1.1431	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter
AY050582.1.1471	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
AY081986.1.1499	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Flavobacterium
AY165584.1.1356	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured
AY184804.1.1548	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Waddliaceae	Waddlia
AY194066.1.1462	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Thalassomonas
AY212617.1.1520	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	BD1-7 clade
AY212804.1.1425	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis
AY217405.1.1306	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella
AY218559.1.1478	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured
AY221078.1.1469	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	CCU22	NA
AY222301.1.1427	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Cellvibrio
AY250865.1.1436	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	uncultured
AY292931.1.1460	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio
AY328755.1.1493	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Family Incertae Sedis	Candidatus Captivus
AY328818.1.1345	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
AY345434.1.1499	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Robiginitalea
AY373394.1.1493	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
AY373423.1.1488	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Sufflavibacter
AY375069.1.1502	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Amphritea
AY375148.1.1459	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Neptunomonas
AY375152.1.1351	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255 marine benthic group	NA
AY376165.1.1488	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium
AY377986.1.1490	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Microbulbifer
AY391360.1.1286	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA
AY436519.1.904	Archaea	Thaumarchaeota	Miscellaneous Crenarchaeotic Group	NA	NA	NA
AY468453.1.1450	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Flavobacterium
AY491605.1.1282	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas
AY512821.1.1465	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Phyllobacterium
AY538749.1.1536	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium
AY563448.1.1496	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
AY568514.1.1506	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
AY584738.1.1218	Bacteria	Chloroflexi	Dehalococcoidia	Sh765B-AG-111	NA	NA
AY591785.1.1358	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
AY592598.1.1226	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Blastopirellula
AY592740.1.1291	Bacteria	Chloroflexi	Dehalococcoidia	GIF3	NA	NA
AY592788.1.1264	Bacteria	Chloroflexi	Dehalococcoidia	Napoli-4B-65	NA	NA
AY620239.1.1483	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	NA
AY622242.1.1455	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	uncultured
AY654765.1.1431	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
AY661412.1.1447	Bacteria	Candidate division OP8	NA	NA	NA	NA
AY701454.1.1452	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	OM60(NOR5) clade
AY706437.1.1319	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Rhodanobacter
AY724034.1.1270	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	DA111	NA
AY726605.1.1467	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus
AY726819.1.1202	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassococcus
AY736253.1.1246	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
AY739685.1.1394	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium
AY739687.1.1367	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
AY770947.1.1438	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
AY770954.1.1503	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azoarcus
AY770956.1.1507	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	uncultured
AY771949.1.1505	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfocapsa
AY785255.1.1463	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
AY794156.1.1540	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola
AY856843.1.1404	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum
AY881237.1.1528	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria
AY887015.1.1490	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga
AY914071.1.1436	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum
AY921797.1.1351	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
AY921830.1.1412	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
AY921906.1.1357	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
AY921915.1.1353	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
AY921950.1.1409	Bacteria	Acidobacteria	Acidobacteria	Subgroup 6	NA	NA
AY922168.1.1377	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus
AY922175.1.1411	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	AKYH776	NA
AY942753.1.1450	Bacteria	Proteobacteria	Gammaproteobacteria	HOC36	NA	NA
AY942774.1.1346	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Algimonas
AY945892.1.1483	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Flavobacterium
AY947972.1.1449	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Cryomorphaceae	Fluviicola
AY958847.1.1516	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
AY962684.1.1342	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
AY967727.1.1484	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
BAEW01000035.25.1529	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI Incertae Sedis	Peptoniphilus
BX294802.1.1289	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces
BX294845.1.1277	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	uncultured
CACX01001880.397711.399175	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
CAPN01000053.20.1548	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
CP000713.776642.778168	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter
CP002555.2510670.2511999	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
CR378674.196081.197629	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium
CR933131.2.1371	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	009E01-B-SD-P15	NA
CR933147.2.1373	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	009E01-B-SD-P15	NA
CR933187.2.1376	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	008E09-B-D-P15	NA
CU466725.2.1360	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	NS9 marine group	NA
CU914838.2.1371	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Tepidibacter
CU915045.1.1332	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	uncultured
CU917751.1.1338	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
CU918039.1.1331	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
CU919555.1.1332	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
CU919812.1.1307	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	uncultured
CU919902.1.1307	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum
CU919919.1.1317	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Gemmobacter
CU920672.11.1349	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Pleomorphomonas
CU921208.1.1339	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter
CU921220.1.1343	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
CU921448.1.1309	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	uncultured
CU921569.1.1287	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thioclava
CU921736.1.1353	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Uliginosibacterium
CU921846.2.1329	Bacteria	Candidate division OD1	NA	NA	NA	NA
CU922092.2.1366	Bacteria	Candidate division OP3	NA	NA	NA	NA
CU922770.1.1323	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
CU922881.1.1346	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	uncultured
CU923120.2.1313	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
CU923330.1.1340	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Longilinea
CU923864.1.1349	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermodesulfobiaceae	Coprothermobacter
CU924055.1.1351	Bacteria	Firmicutes	Clostridia	D8A-2	NA	NA
CU924734.1.1317	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Family Incertae Sedis	Candidatus Microthrix
CU925941.1.1357	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Thauera
CU926176.1.1305	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus
CU926423.1.1323	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Longilinea
CU927173.1.1358	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	uncultured
CU927293.1.1307	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	GOBB3-C201	NA
CU927771.1.1282	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured
D12699.1.1314	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter
D13737.1.1415	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
DQ007534.1.1534	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	SEEP-SRB1
DQ015777.1.1485	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Cryomorphaceae	Owenweeksia
DQ015853.1.1504	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces
DQ015861.1.1487	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Cryomorphaceae	Brumimicrobium
DQ066977.1.1341	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
DQ067003.1.1416	Bacteria	Candidate division WS3	NA	NA	NA	NA
DQ070814.1.1375	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
DQ070824.1.1402	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pir4 lineage
DQ071274.1.1336	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurovum
DQ082932.1.1019	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	Candidatus Parvarchaeum
DQ103611.1.1388	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sediminimonas
DQ103619.1.1391	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sediminimonas
DQ103888.1.1473	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas
DQ109909.1.1352	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	uncultured	NA
DQ125562.1.1412	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured
DQ129283.1.1413	Bacteria	Actinobacteria	MB-A2-108	NA	NA	NA
DQ129421.1.1511	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Salinicoccus
DQ129612.1.1426	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
DQ139448.1.1510	Bacteria	Acidobacteria	Acidobacteria	Subgroup 6	NA	NA
DQ177494.1.1453	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter
DQ223877.1.1440	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
DQ232428.1.1267	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter
DQ256312.1.1453	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	NA	NA
DQ266898.1.1530	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Bacteriovorax
DQ269047.1.1431	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	uncultured	NA
DQ269064.1.1431	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Sufflavibacter
DQ269087.1.1330	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Lewinella
DQ269110.1.1432	Bacteria	Planctomycetes	Pla3 lineage	NA	NA	NA
DQ269115.1.1335	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	uncultured	NA
DQ272468.1.1286	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Phyllobacterium
DQ289911.1.1391	Bacteria	Chlorobi	Ignavibacteria	Ignavibacteriales	PHOS-HE36	NA
DQ289917.1.1397	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Leptospirillum
DQ298763.1.1508	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Flavobacterium
DQ302414.1.1423	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
DQ310743.1.1359	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	uncultured
DQ312237.1.1296	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Hahellaceae	Endozoicomonas
DQ316817.1.1344	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
DQ329755.1.1304	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Spirochaeta
DQ330946.1.1286	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hyphomonas
DQ333949.1.1505	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Salinicoccus
DQ334659.1.1284	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Croceitalea
DQ337078.1.1423	Bacteria	Candidate division OD1	NA	NA	NA	NA
DQ337094.1.1509	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
DQ337564.1.1484	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia
DQ347886.1.1434	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
DQ350835.1.1535	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
DQ351797.1.1476	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Ulvibacter
DQ354721.1.1489	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Cellvibrio
DQ395030.1.1487	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pir4 lineage
DQ395879.1.1492	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade
DQ446084.1.1423	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	uncultured
DQ446112.1.1428	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Ferrimonadaceae	Ferrimonas
DQ463725.1.1475	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Cryomorphaceae	Fluviicola
DQ493872.1.1501	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionIII	FamilyI	Phormidium
DQ513064.1.1505	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Aquicella
DQ517140.1.1670	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Aliidiomarina
DQ520188.1.1494	Bacteria	Cyanobacteria	ML635J-21	NA	NA	NA
DQ520806.1.1415	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
DQ521562.1.1443	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Marisediminicola
DQ630710.1.1496	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Candidatus Magnetananas
DQ659182.1.1358	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
DQ660386.1.1437	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudovibrio
DQ660833.1.1330	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
DQ676427.1.1395	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter
DQ778094.1.1405	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Ferrimonadaceae	Ferrimonas
DQ793921.1.1284	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured
